instruction,output,input
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,В Ленинградской области нашли тело учредителя подрядчика «Газпрома»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,"В Кремле усомнились, что Маск сможет вернуть свободу слова в Twitter"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,В Испании нашли мертвым бывшего замглавы совета директоров НОВАТЭКа
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,В «Энел Россия» сменился гендиректор
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,В «Газпроме» предложили исключить валютную конкуренцию при поставках газа
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,"В «Газпроме» заявили, что Siemens устранил четверть поломок на двигателях"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,В «Аэрофлоте» сменился гендиректор
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,В JPMorgan предупредили о нефти за $380 при предельных ценах для России
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Бывшая британская «дочка» «Газпрома» сменила название
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Британия ужесточила санкции против «Аэрофлота» и «России»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Британия выдала лицензию на платежи за газ Газпромбанку
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Британия ввела блокирующие санкции против МКБ и Сбера
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,"Болгария договорилась о покупке СПГ у США по ценам, ниже чем у «Газпрома»"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,"Болгария договорилась о покупке СПГ у США по ценам ниже, чем у «Газпрома»"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,Безос поддержал идею Маска сделать приют из штаб-квартиры Twitter
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Банки увидели рост доли карт «Мир» после ухода Visa и Mastercard
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Банки без головы // МКБ первым засекретил руководителя в базе ЕГРЮЛ
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,"Аналитики ""Финама"" рекомендуют ""Покупать"" акции Capital One"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Американский Arconic предупредил о потере $500 млн из-за завода в Самаре
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Американская Whirlpool продаст российский бизнес турецкой Arcelik
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Алмазы идут пеплом // Европейские ювелиры отказываются от продукции АЛРОСА
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Алекперов покинул совет директоров ЛУКОЙЛа и пост главы компании
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,"Алекперов заявил, что останется в России после ухода из ЛУКОЙЛа"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Акционеры обвинили Netflix в мошенничестве
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Акционеры ЛУКОЙЛа досрочно прекратили полномочия Алекперова
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Акционерам QIWI предложили дисконт // За отсутствие торгов и присутствие «ФК Открытие»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Акции Twitter упали на 11% на фоне отказа Маска от покупки соцсети
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,Акрон: дорого на перспективу
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,Адвокаты Маска призвали суд отложить разбирательство по иску Twitter
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Адвокатам предложили высокий приговор // По делу о хищении средств «Аэрофлота» прокуратура хочет жесткого наказания
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Автора стратегии «Аэрофлота» заочно арестовали по делу о мошенничестве
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Австрия пригрозила забрать у «Газпрома» газохранилище в Зальцбурге
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Австрия передаст ПХГ «Газпрома» в Хайдахе другим поставщикам
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Австрийский партнер «Газпрома» списал €1 млрд из-за «Северного потока-2»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,"Австралия ввела санкции против «Газпрома», «Транснефти» и РЖД"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Австралия ввела санкции против 39 россиян по делу Магнитского
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Австралия ввела санкции против 39 россиян по «делу Магнитского»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,"«Яндекс», VK и Ozon решили претендовать на учет всей рекламы Рунета"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,«Совкомфлот»продаст часть судов
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,«Совкомфлот» сообщил о планах продать часть судов
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,«Ситуация — больше чем очередной экономический кризис» // Владелец НЛМК Владимир Лисин о последствиях конфликта на Украине
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,«Северсталь» продала одну из крупнейших угледобывающих компаний России
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,«Северный поток» пересыхает // «Газпром» последовательно сокращает поставки в Германию
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,«Ростех» попросил передать ему пакет государства в «Ростелекоме»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,«Ростелеком» спелся с «Элвисом» // Компании договорились о сотрудничестве в выпуске микроэлектроники
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,«Ростелеком» связал слив данных абонентов со старой утечкой
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,«Ростелеком» связал слив данных «Умного дома» со старой утечкой
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,«Ростелеком» связал «слив» данных «Умного дома» со старой утечкой
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,«Ростелеком» и НМГ объединят онлайн-кинотеатры Wink и more.tv
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,«Россети» обсудят присоединение к дочерней ФСК ЕЭС
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,«Роснефть» пошла по берегу // Компания открыла месторождение в Печорском море с запасами 82 млн тонн
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,«Роснефть» подала в суд на американский Forbes
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,«Пульс» ловит «Дзен» // Сделка с «Яндексом» поможет VK улучшить рекомендательные сервисы
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,«Нафтогаз» пригрозил «Газпрому» арбитражом из-за недоплаты за транзит
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,«Нафтогаз» допустил новый суд с «Газпромом» по платежам за транзит
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,«Металлург» прет как трактор // Клуб из Магнитогорска быстро вышел в финал Кубка Гагарина
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,«Магнит» открыл первый магазин за пределами России
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,«Красный Октябрь» проиграл польской компании суд по «Коровке»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,«Коммерсантъ»: Kraft Heinz продаст российский бизнес по производству детского питания
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,«Коммерсантъ» узнал об отказе властей от идеи передачи доли «Ростелекома»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,«Коммерсантъ» узнал об иске клиентов СДЭК к компании из-за утечки данных
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,"«Коммерсантъ» узнал об идее ЛУКОЙЛа, как избежать риска остановки НПЗ"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,«Коммерсантъ» узнал о разрыве контрактов Baker Hughes по СПГ-проектам
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,«Коммерсантъ» узнал о просьбе Газпромбанка к Путину по передаче БАМ
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,«Коммерсантъ» узнал о передаче «Газпрому» лицензии на турбину
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,«Коммерсантъ» узнал о намерении Kraft Heinz продать заводы в России
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,«Коммерсантъ» узнал о закрытии части магазинов ретейлеров Apple в России
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,«Коммерсантъ» сообщил о решении МТС отложить продажу сотовых вышек
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,«Коммерсантъ» сообщил о продаже доступа к Spotify и Netflix в даркнете
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,«Коммерсантъ» назвал компанию сына Патрушева подрядчиком «Газпрома»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,«Интеррос» купит 35% в TCS Group у семьи Тинькова
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,«Известия» узнали о появлении локальных напитков для России от PepsiCo
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,«Дочка» НОВАТЭКа предупредила о риске взрыва цистерн с газом в Польше
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,«Газпром»увеличил поставки газа в Италию
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,«Газпром»: поставка турбины для «Северного потока» в ФРГ не соответствует контракту
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,«Газпром» увеличил поставки газа в Италию
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,«Газпром» уведомил итальянскую Eni о сокращении поставок
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,"«Газпром» сообщил, что так и не получил от Siemens документы по турбине"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,«Газпром» сообщил о снижении экспорта газа в страны дальнего зарубежья
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,«Газпром» сообщил о снижении экспорта в страны дальнего зарубежья на 31%
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,«Газпром» сообщил о росте объема поставок в Китай на 60%
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,«Газпром» сообщил о возобновлении поставок в Турцию по «Голубому потоку»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,«Газпром» с 31 мая приостановит поставки газа в Нидерланды
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,«Газпром» с 1 июня приостановит поставки газа Shell и датской Orsted
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,«Газпром» раскрыл объем прокачки через Украину на фоне паузы Nord Stream
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,«Газпром» приостановит «Турецкий поток» из-за технических работ
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,«Газпром» приостановил поставки газа в Финляндию
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,«Газпром» приостановил поставки газа в Польшу и Болгарию
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,«Газпром» прекратил участие в Gazprom Germania и всех ее активах
